Genotype	Provenance	Latitude	Longitude	Elevation	MAT	MWMT	MCMT	TD	MAP	MSP	AHM	SHM	DD_0	DD5	DD_18	DD18	NFFD	bFFP	eFFP	FFP	PAS	EMT	EXT	MAR	Eref	CMD	RH
SHEL15_3	SHEL	54.033333	-122.6	564	3.9	15.5	-9.8	25.2	711	283	19.6	54.7	952	1306	5134	33	168	146	258	112	278	-40	34	11.2	565	234	60
SHEL15_4	SHEL	54.033333	-122.6	564	3.9	15.5	-9.8	25.2	711	283	19.6	54.7	952	1306	5134	33	168	146	258	112	278	-40	34	11.2	565	234	60
SHEL15_5	SHEL	54.033333	-122.6	564	3.9	15.5	-9.8	25.2	711	283	19.6	54.7	952	1306	5134	33	168	146	258	112	278	-40	34	11.2	565	234	60
SHEL15_6	SHEL	54.033333	-122.6	564	3.9	15.5	-9.8	25.2	711	283	19.6	54.7	952	1306	5134	33	168	146	258	112	278	-40	34	11.2	565	234	60
SKNB10_1	SKNB	54.683333	-128.383333	122	5.4	15.8	-5.8	21.6	1036	248	14.9	63.8	608	1390	4612	44	192	147	275	128	349	-32.9	34.1	9.7	581	269	66
SKNB10_2	SKNB	54.683333	-128.383333	122	5.4	15.8	-5.8	21.6	1036	248	14.9	63.8	608	1390	4612	44	192	147	275	128	349	-32.9	34.1	9.7	581	269	66
SKNC10_1	SKNC	54.766667	-128.266667	122	5.4	16	-6.1	22	1001	222	15.3	71.8	627	1400	4625	45	194	144	274	130	329	-33.2	33.8	9.4	574	287	67
SKNC10_2	SKNC	54.766667	-128.266667	122	5.4	16	-6.1	22	1001	222	15.3	71.8	627	1400	4625	45	194	144	274	130	329	-33.2	33.8	9.4	574	287	67
SKNC10_4	SKNC	54.766667	-128.266667	122	5.4	16	-6.1	22	1001	222	15.3	71.8	627	1400	4625	45	194	144	274	130	329	-33.2	33.8	9.4	574	287	67
SKND10_2	SKND	54.85	-128.333333	140	5.3	16	-6.3	22.3	919	214	16.6	74.7	648	1406	4647	45	189	147	272	125	296	-33.9	34.2	10	589	313	65
SKNL10_1	SKNL	54.45	-128.75	61	6.6	16.4	-3.8	20.2	1292	306	12.9	53.8	417	1542	4186	63	227	128	287	159	304	-28.6	34.2	10.2	545	188	73
SKNL10_3	SKNL	54.45	-128.75	61	6.6	16.4	-3.8	20.2	1292	306	12.9	53.8	417	1542	4186	63	227	128	287	159	304	-28.6	34.2	10.2	545	188	73
SKNL10_4	SKNL	54.45	-128.75	61	6.6	16.4	-3.8	20.2	1292	306	12.9	53.8	417	1542	4186	63	227	128	287	159	304	-28.6	34.2	10.2	545	188	73
SKNM10_1	SKNM	54.4	-128.983333	43	6.3	16.2	-4	20.2	1586	361	10.3	45	443	1475	4296	54	212	137	283	145	412	-29.7	34.7	9	566	174	69
SKNM10_2	SKNM	54.4	-128.983333	43	6.3	16.2	-4	20.2	1586	361	10.3	45	443	1475	4296	54	212	137	283	145	412	-29.7	34.7	9	566	174	69
SKNM10_3	SKNM	54.4	-128.983333	43	6.3	16.2	-4	20.2	1586	361	10.3	45	443	1475	4296	54	212	137	283	145	412	-29.7	34.7	9	566	174	69
SKNN10_2	SKNN	54.283333	-129.366667	30	6.3	15.7	-3.6	19.3	2216	539	7.4	29.2	412	1435	4285	47	221	133	286	154	513	-28.4	33.4	9.3	531	54	72
SKNN10_3	SKNN	54.283333	-129.366667	30	6.3	15.7	-3.6	19.3	2216	539	7.4	29.2	412	1435	4285	47	221	133	286	154	513	-28.4	33.4	9.3	531	54	72
SKNN10_4	SKNN	54.283333	-129.366667	30	6.3	15.7	-3.6	19.3	2216	539	7.4	29.2	412	1435	4285	47	221	133	286	154	513	-28.4	33.4	9.3	531	54	72
SKNN10_5	SKNN	54.283333	-129.366667	30	6.3	15.7	-3.6	19.3	2216	539	7.4	29.2	412	1435	4285	47	221	133	286	154	513	-28.4	33.4	9.3	531	54	72
SKNO10_2	SKNO	54.216667	-129.533333	21	5.9	15.4	-3.7	19.1	3176	727	5	21.2	442	1330	4428	37	206	139	282	144	804	-29.6	33.6	9.1	531	3	70
SKNO10_3	SKNO	54.216667	-129.533333	21	5.9	15.4	-3.7	19.1	3176	727	5	21.2	442	1330	4428	37	206	139	282	144	804	-29.6	33.6	9.1	531	3	70
SKNO10_4	SKNO	54.216667	-129.533333	21	5.9	15.4	-3.7	19.1	3176	727	5	21.2	442	1330	4428	37	206	139	282	144	804	-29.6	33.6	9.1	531	3	70
SKNP10_11	SKNP	54.55	-128.466667	61	5.8	15.8	-4.6	20.4	1255	306	12.6	51.6	505	1397	4463	46	208	137	281	144	370	-30.6	33.9	8.9	550	190	70
SKNP10_2	SKNP	54.55	-128.466667	61	5.8	15.8	-4.6	20.4	1255	306	12.6	51.6	505	1397	4463	46	208	137	281	144	370	-30.6	33.9	8.9	550	190	70
SKNP10_3	SKNP	54.55	-128.466667	61	5.8	15.8	-4.6	20.4	1255	306	12.6	51.6	505	1397	4463	46	208	137	281	144	370	-30.6	33.9	8.9	550	190	70
SKNP10_4	SKNP	54.55	-128.466667	61	5.8	15.8	-4.6	20.4	1255	306	12.6	51.6	505	1397	4463	46	208	137	281	144	370	-30.6	33.9	8.9	550	190	70
SKNP10_8	SKNP	54.55	-128.466667	61	5.8	15.8	-4.6	20.4	1255	306	12.6	51.6	505	1397	4463	46	208	137	281	144	370	-30.6	33.9	8.9	550	190	70
SKNP10_9	SKNP	54.55	-128.466667	61	5.8	15.8	-4.6	20.4	1255	306	12.6	51.6	505	1397	4463	46	208	137	281	144	370	-30.6	33.9	8.9	550	190	70
SKNQ10_3	SKNQ	54.583333	-128.416667	61	6	16.1	-4.6	20.7	1159	285	13.8	56.5	496	1455	4391	52	213	134	282	148	328	-30.3	34.1	8.8	554	205	71
SKNR10_1	SKNR	54.683333	-128.35	244	5.1	15.4	-6	21.4	1105	260	13.6	59.2	632	1315	4716	39	192	145	275	130	393	-32.9	33.3	9.8	551	234	69
SKWA24_2	SKWA	50.216667	-123.983333	61	8.1	17	0.2	16.8	2405	534	7.5	31.9	215	1731	3655	70	244	126	291	165	246	-23.3	35.4	11.1	683	63	68
SKWA24_3	SKWA	50.216667	-123.983333	61	8.1	17	0.2	16.8	2405	534	7.5	31.9	215	1731	3655	70	244	126	291	165	246	-23.3	35.4	11.1	683	63	68
SKWA24_4	SKWA	50.216667	-123.983333	61	8.1	17	0.2	16.8	2405	534	7.5	31.9	215	1731	3655	70	244	126	291	165	246	-23.3	35.4	11.1	683	63	68
SKWB24_2	SKWB	50.233333	-124	115	7.8	16.8	-0.2	17	2388	529	7.5	31.7	239	1665	3766	62	228	135	286	151	286	-25	35.5	9.4	685	75	65
SKWB24_3	SKWB	50.233333	-124	115	7.8	16.8	-0.2	17	2388	529	7.5	31.7	239	1665	3766	62	228	135	286	151	286	-25	35.5	9.4	685	75	65
SKWB24_4	SKWB	50.233333	-124	115	7.8	16.8	-0.2	17	2388	529	7.5	31.7	239	1665	3766	62	228	135	286	151	286	-25	35.5	9.4	685	75	65
SKWC24_1	SKWC	50.25	-124	152	7.4	16.6	-0.7	17.3	2384	529	7.3	31.4	271	1599	3890	56	208	145	281	136	342	-27	35.8	8.3	712	90	61
SKWC24_3	SKWC	50.25	-124	152	7.4	16.6	-0.7	17.3	2384	529	7.3	31.4	271	1599	3890	56	208	145	281	136	342	-27	35.8	8.3	712	90	61
SKWC24_4	SKWC	50.25	-124	152	7.4	16.6	-0.7	17.3	2384	529	7.3	31.4	271	1599	3890	56	208	145	281	136	342	-27	35.8	8.3	712	90	61
SKWD24_1	SKWD	50.25	-124.016667	323	7	16.1	-1	17	2538	555	6.7	29	290	1498	4024	45	216	140	283	143	405	-26.3	34.7	9.7	658	51	66
SKWD24_3	SKWD	50.25	-124.016667	323	7	16.1	-1	17	2538	555	6.7	29	290	1498	4024	45	216	140	283	143	405	-26.3	34.7	9.7	658	51	66
SKWD24_5	SKWD	50.25	-124.016667	323	7	16.1	-1	17	2538	555	6.7	29	290	1498	4024	45	216	140	283	143	405	-26.3	34.7	9.7	658	51	66
SKWE24_1	SKWE	50.216667	-123.95	231	7.7	16.6	-0.2	16.9	2520	563	7	29.5	243	1631	3804	57	236	129	289	159	310	-24.2	34.9	10.9	650	40	68
SKWE24_3	SKWE	50.216667	-123.95	231	7.7	16.6	-0.2	16.9	2520	563	7	29.5	243	1631	3804	57	236	129	289	159	310	-24.2	34.9	10.9	650	40	68
SKWE24_4	SKWE	50.216667	-123.95	231	7.7	16.6	-0.2	16.9	2520	563	7	29.5	243	1631	3804	57	236	129	289	159	310	-24.2	34.9	10.9	650	40	68
SKWE24_5	SKWE	50.216667	-123.95	231	7.7	16.6	-0.2	16.9	2520	563	7	29.5	243	1631	3804	57	236	129	289	159	310	-24.2	34.9	10.9	650	40	68
SKWF24_2	SKWF	50.25	-123.933333	244	7.2	16.4	-1.1	17.5	2603	585	6.6	28	295	1550	3987	52	212	142	282	140	418	-26.8	35.4	9.6	683	47	64
SKWF24_3	SKWF	50.25	-123.933333	244	7.2	16.4	-1.1	17.5	2603	585	6.6	28	295	1550	3987	52	212	142	282	140	418	-26.8	35.4	9.6	683	47	64
SKWF24_5	SKWF	50.25	-123.933333	244	7.2	16.4	-1.1	17.5	2603	585	6.6	28	295	1550	3987	52	212	142	282	140	418	-26.8	35.4	9.6	683	47	64
SLMB28_1	SLMB	50.216667	-125.816667	30	8	16	0.5	15.5	1643	324	11	49.4	203	1656	3678	50	254	124	292	168	165	-21.5	34.1	10.9	660	180	70
SLMB28_3	SLMB	50.216667	-125.816667	30	8	16	0.5	15.5	1643	324	11	49.4	203	1656	3678	50	254	124	292	168	165	-21.5	34.1	10.9	660	180	70
SLMB28_4	SLMB	50.216667	-125.816667	30	8	16	0.5	15.5	1643	324	11	49.4	203	1656	3678	50	254	124	292	168	165	-21.5	34.1	10.9	660	180	70
SLMC28_1	SLMC	50.266667	-125.833333	30	8.1	15.9	0.9	15	1672	343	10.8	46.3	191	1657	3647	49	257	121	293	172	151	-21.2	33.9	10.2	653	164	71
SLMC28_2	SLMC	50.266667	-125.833333	30	8.1	15.9	0.9	15	1672	343	10.8	46.3	191	1657	3647	49	257	121	293	172	151	-21.2	33.9	10.2	653	164	71
SLMC28_3	SLMC	50.266667	-125.833333	30	8.1	15.9	0.9	15	1672	343	10.8	46.3	191	1657	3647	49	257	121	293	172	151	-21.2	33.9	10.2	653	164	71
SLMD28_1	SLMD	50.283333	-125.866667	30	8.3	16	1.1	14.8	1674	350	10.9	45.6	178	1690	3585	50	268	114	296	182	135	-20.2	33.5	9.6	638	149	72
SLMD28_3	SLMD	50.283333	-125.866667	30	8.3	16	1.1	14.8	1674	350	10.9	45.6	178	1690	3585	50	268	114	296	182	135	-20.2	33.5	9.6	638	149	72
SLMD28_5	SLMD	50.283333	-125.866667	30	8.3	16	1.1	14.8	1674	350	10.9	45.6	178	1690	3585	50	268	114	296	182	135	-20.2	33.5	9.6	638	149	72
SQMA25_1	SQMA	49.866667	-123.233333	61	8.3	17	-0.1	17.1	2219	379	8.3	44.8	216	1800	3586	74	249	122	291	170	248	-23.6	35.6	11.3	685	163	68
SQMA25_4	SQMA	49.866667	-123.233333	61	8.3	17	-0.1	17.1	2219	379	8.3	44.8	216	1800	3586	74	249	122	291	170	248	-23.6	35.6	11.3	685	163	68
SQMA25_5	SQMA	49.866667	-123.233333	61	8.3	17	-0.1	17.1	2219	379	8.3	44.8	216	1800	3586	74	249	122	291	170	248	-23.6	35.6	11.3	685	163	68
SQMB25_3	SQMB	49.95	-123.3	76	8.1	17.1	-0.6	17.7	2192	373	8.2	45.8	246	1768	3688	77	232	131	286	155	296	-25.3	36.2	12.3	711	193	65
SQMB25_4	SQMB	49.95	-123.3	76	8.1	17.1	-0.6	17.7	2192	373	8.2	45.8	246	1768	3688	77	232	131	286	155	296	-25.3	36.2	12.3	711	193	65
SQMC25_1	SQMC	50.1	-123.366667	177	7.2	16.6	-1.6	18.2	1546	355	11.1	46.9	318	1599	3989	61	210	142	280	138	278	-27	35.8	9.9	704	222	63
SQMC25_2	SQMC	50.1	-123.366667	177	7.2	16.6	-1.6	18.2	1546	355	11.1	46.9	318	1599	3989	61	210	142	280	138	278	-27	35.8	9.9	704	222	63
SQMC25_4	SQMC	50.1	-123.366667	177	7.2	16.6	-1.6	18.2	1546	355	11.1	46.9	318	1599	3989	61	210	142	280	138	278	-27	35.8	9.9	704	222	63
SQMC25_5	SQMC	50.1	-123.366667	177	7.2	16.6	-1.6	18.2	1546	355	11.1	46.9	318	1599	3989	61	210	142	280	138	278	-27	35.8	9.9	704	222	63
STEL14_1	STEL	54.033333	-124.916667	701	2.7	14.3	-10.9	25.3	523	234	24.2	61.2	1120	1086	5581	18	150	161	253	92	212	-42.1	33.3	10.8	540	264	59
STHA21_2	STHA	50.816667	-124.483333	239	6.1	15	-2.2	17.2	1745	414	9.2	36.2	382	1307	4364	29	186	149	270	121	405	-30.4	34.4	8.7	645	148	60
STHA21_3	STHA	50.816667	-124.483333	239	6.1	15	-2.2	17.2	1745	414	9.2	36.2	382	1307	4364	29	186	149	270	121	405	-30.4	34.4	8.7	645	148	60
STHA21_4	STHA	50.816667	-124.483333	239	6.1	15	-2.2	17.2	1745	414	9.2	36.2	382	1307	4364	29	186	149	270	121	405	-30.4	34.4	8.7	645	148	60
STHA21_5	STHA	50.816667	-124.483333	239	6.1	15	-2.2	17.2	1745	414	9.2	36.2	382	1307	4364	29	186	149	270	121	405	-30.4	34.4	8.7	645	148	60
STHB21_2	STHB	50.883333	-124.733333	91	6.9	15.6	-1	16.6	1716	411	9.8	37.8	294	1441	4079	37	205	141	278	137	278	-28	34.7	11.3	662	133	62
STHB21_3	STHB	50.883333	-124.733333	91	6.9	15.6	-1	16.6	1716	411	9.8	37.8	294	1441	4079	37	205	141	278	137	278	-28	34.7	11.3	662	133	62
STHB21_4	STHB	50.883333	-124.733333	91	6.9	15.6	-1	16.6	1716	411	9.8	37.8	294	1441	4079	37	205	141	278	137	278	-28	34.7	11.3	662	133	62
STHB21_5	STHB	50.883333	-124.733333	91	6.9	15.6	-1	16.6	1716	411	9.8	37.8	294	1441	4079	37	205	141	278	137	278	-28	34.7	11.3	662	133	62
STKB05_3	STKB	56.66	-131.783333	31	4.2	13.9	-6.8	20.7	1690	539	8.4	25.8	689	1096	5021	28	204	126	279	153	558	-32.7	29.9	9.4	427	46	77
STKD05_1	STKD	57.333333	-131.783333	49	3.6	14.2	-8.9	23.1	1142	398	11.9	35.7	867	1096	5261	25	182	138	270	131	461	-35.9	30.6	10.2	454	122	71
STKD05_3	STKD	57.333333	-131.783333	49	3.6	14.2	-8.9	23.1	1142	398	11.9	35.7	867	1096	5261	25	182	138	270	131	461	-35.9	30.6	10.2	454	122	71
STKE05_3	STKE	57.516667	-131.783333	61	2.9	14	-10.2	24.2	920	330	14.1	42.4	1021	1055	5487	20	161	155	262	107	392	-38.9	31.2	10.9	484	186	64
STKF05_1	STKF	57.65	-131.566667	85	2.7	14.7	-11.8	26.4	690	233	18.4	63	1175	1137	5573	23	154	160	258	99	321	-40.6	32.9	9.3	520	279	62
STKG04_4	STKG	57.95	-129.666667	732	0.3	12.6	-14.1	26.7	395	221	26	57	1568	803	6447	11	122	176	242	66	160	-45.7	31.4	10	475	227	58
TAKA03_2	TAKA	58.6	-133.566667	31	2.9	12.5	-8.7	21.2	1184	363	10.9	34.4	912	917	5504	24	168	149	265	116	530	-36.8	29.6	8.9	418	90	69
TAKA03_3	TAKA	58.6	-133.566667	31	2.9	12.5	-8.7	21.2	1184	363	10.9	34.4	912	917	5504	24	168	149	265	116	530	-36.8	29.6	8.9	418	90	69
TAKB03_3	TAKB	58.7	-133.4	49	2	12	-9.8	21.9	782	221	15.4	54.5	1080	830	5811	21	154	158	259	101	409	-38.7	29.5	8.4	419	180	67
TAKB03_4	TAKB	58.7	-133.4	49	2	12	-9.8	21.9	782	221	15.4	54.5	1080	830	5811	21	154	158	259	101	409	-38.7	29.5	8.4	419	180	67
TAKB03_5	TAKB	58.7	-133.4	49	2	12	-9.8	21.9	782	221	15.4	54.5	1080	830	5811	21	154	158	259	101	409	-38.7	29.5	8.4	419	180	67
TATB01_4	TATB	59.433333	-137.833333	34	3.3	12.6	-6	18.6	2024	676	6.6	18.7	733	882	5334	28	172	149	266	118	769	-34.5	29.1	10.3	384	0	70
TATB01_7	TATB	59.433333	-137.833333	34	3.3	12.6	-6	18.6	2024	676	6.6	18.7	733	882	5334	28	172	149	266	118	769	-34.5	29.1	10.3	384	0	70
TLKH11_1	TLKH	54.666667	-127.116667	567	3.1	13.9	-9.4	23.4	478	202	27.5	69.1	975	1062	5421	18	157	155	254	99	185	-40	32.5	10.5	523	277	62
TLKH11_5	TLKH	54.666667	-127.116667	567	3.1	13.9	-9.4	23.4	478	202	27.5	69.1	975	1062	5421	18	157	155	254	99	185	-40	32.5	10.5	523	277	62
TNZA04_1	TNZA	58.3	-130.466667	567	0.3	13.2	-14.5	27.8	375	186	27.4	71.2	1638	870	6438	10	123	176	243	67	165	-46.2	32.1	9.4	487	273	57
TNZA04_3	TNZA	58.3	-130.466667	567	0.3	13.2	-14.5	27.8	375	186	27.4	71.2	1638	870	6438	10	123	176	243	67	165	-46.2	32.1	9.4	487	273	57
TOBA23_2	TOBA	50.516667	-124.233333	67	6.9	15.8	-1.1	16.9	2144	492	7.9	32.2	300	1474	4070	43	205	142	277	135	361	-27.3	35	12.1	684	111	62
TOBA23_3	TOBA	50.516667	-124.233333	67	6.9	15.8	-1.1	16.9	2144	492	7.9	32.2	300	1474	4070	43	205	142	277	135	361	-27.3	35	12.1	684	111	62
TOBA23_4	TOBA	50.516667	-124.233333	67	6.9	15.8	-1.1	16.9	2144	492	7.9	32.2	300	1474	4070	43	205	142	277	135	361	-27.3	35	12.1	684	111	62
TOBA23_5	TOBA	50.516667	-124.233333	67	6.9	15.8	-1.1	16.9	2144	492	7.9	32.2	300	1474	4070	43	205	142	277	135	361	-27.3	35	12.1	684	111	62
TOBB23_2	TOBB	50.566667	-124.083333	73	7.4	16.4	-1	17.5	1761	459	9.9	35.8	277	1611	3890	57	215	135	278	143	253	-26.8	35.7	11.9	708	158	62
TOBB23_3	TOBB	50.566667	-124.083333	73	7.4	16.4	-1	17.5	1761	459	9.9	35.8	277	1611	3890	57	215	135	278	143	253	-26.8	35.7	11.9	708	158	62
TOBB23_4	TOBB	50.566667	-124.083333	73	7.4	16.4	-1	17.5	1761	459	9.9	35.8	277	1611	3890	57	215	135	278	143	253	-26.8	35.7	11.9	708	158	62
TOBB23_5	TOBB	50.566667	-124.083333	73	7.4	16.4	-1	17.5	1761	459	9.9	35.8	277	1611	3890	57	215	135	278	143	253	-26.8	35.7	11.9	708	158	62
TRTB07_5	TRTB	56.566667	-129.816667	640	1.5	12.4	-10.4	22.8	942	323	12.2	38.5	1186	799	6008	15	136	172	253	80	491	-40.5	30.1	10.7	468	150	64
TRTB07_6	TRTB	56.566667	-129.816667	640	1.5	12.4	-10.4	22.8	942	323	12.2	38.5	1186	799	6008	15	136	172	253	80	491	-40.5	30.1	10.7	468	150	64
TRTB07_7	TRTB	56.566667	-129.816667	640	1.5	12.4	-10.4	22.8	942	323	12.2	38.5	1186	799	6008	15	136	172	253	80	491	-40.5	30.1	10.7	468	150	64
VNDL27_3	VNDL	49.15	-122.1	20	10	17.8	2.2	15.6	1603	372	12.5	47.9	119	2163	3021	117	294	93	309	216	68	-18.7	35.9	12.1	698	150	72
VNDL27_5	VNDL	49.15	-122.1	20	10	17.8	2.2	15.6	1603	372	12.5	47.9	119	2163	3021	117	294	93	309	216	68	-18.7	35.9	12.1	698	150	72
WELC27_1	WELC	49.666667	-121.416667	91	9.2	19.5	-1.3	20.9	1171	177	16.4	110.3	253	2170	3401	190	252	116	294	178	179	-25	38.5	9.9	750	403	67
WELC27_2	WELC	49.666667	-121.416667	91	9.2	19.5	-1.3	20.9	1171	177	16.4	110.3	253	2170	3401	190	252	116	294	178	179	-25	38.5	9.9	750	403	67
WELC27_3	WELC	49.666667	-121.416667	91	9.2	19.5	-1.3	20.9	1171	177	16.4	110.3	253	2170	3401	190	252	116	294	178	179	-25	38.5	9.9	750	403	67
WELC27_4	WELC	49.666667	-121.416667	91	9.2	19.5	-1.3	20.9	1171	177	16.4	110.3	253	2170	3401	190	252	116	294	178	179	-25	38.5	9.9	750	403	67
WELC27_5	WELC	49.666667	-121.416667	91	9.2	19.5	-1.3	20.9	1171	177	16.4	110.3	253	2170	3401	190	252	116	294	178	179	-25	38.5	9.9	750	403	67
WFSH13_6	WFSH	54.6	-124.766667	686	2.6	14.6	-11.5	26.1	528	214	23.8	68.3	1168	1109	5616	20	155	158	256	99	231	-41.7	32.8	10.9	522	263	61
WHTE28_1	WHTE	50.133333	-126.05	213	7.3	15.7	-0.2	15.9	1629	278	10.6	56.5	249	1513	3917	41	234	137	286	149	229	-23.1	34.3	10.3	648	223	69
WHTE28_3	WHTE	50.133333	-126.05	213	7.3	15.7	-0.2	15.9	1629	278	10.6	56.5	249	1513	3917	41	234	137	286	149	229	-23.1	34.3	10.3	648	223	69
WHTE28_4	WHTE	50.133333	-126.05	213	7.3	15.7	-0.2	15.9	1629	278	10.6	56.5	249	1513	3917	41	234	137	286	149	229	-23.1	34.3	10.3	648	223	69
WHTE28_5	WHTE	50.133333	-126.05	213	7.3	15.7	-0.2	15.9	1629	278	10.6	56.5	249	1513	3917	41	234	137	286	149	229	-23.1	34.3	10.3	648	223	69
WLOW15_1	WLOW	53.916667	-122.283333	640	3.5	15.1	-10.1	25.2	813	319	16.6	47.3	1009	1234	5283	27	161	152	256	104	335	-40.4	33.9	11	562	204	60
WLOW15_3	WLOW	53.916667	-122.283333	640	3.5	15.1	-10.1	25.2	813	319	16.6	47.3	1009	1234	5283	27	161	152	256	104	335	-40.4	33.9	11	562	204	60
WLOW15_4	WLOW	53.916667	-122.283333	640	3.5	15.1	-10.1	25.2	813	319	16.6	47.3	1009	1234	5283	27	161	152	256	104	335	-40.4	33.9	11	562	204	60
WLOW15_5	WLOW	53.916667	-122.283333	640	3.5	15.1	-10.1	25.2	813	319	16.6	47.3	1009	1234	5283	27	161	152	256	104	335	-40.4	33.9	11	562	204	60
YALD27_3	YALD	49.566667	-121.466667	549	6.6	16.3	-2.8	19.1	1613	265	10.3	61.6	393	1500	4207	50	208	139	279	139	432	-28.5	35.3	13.2	650	247	66
YALD27_4	YALD	49.566667	-121.466667	549	6.6	16.3	-2.8	19.1	1613	265	10.3	61.6	393	1500	4207	50	208	139	279	139	432	-28.5	35.3	13.2	650	247	66
YALD27_5	YALD	49.566667	-121.466667	549	6.6	16.3	-2.8	19.1	1613	265	10.3	61.6	393	1500	4207	50	208	139	279	139	432	-28.5	35.3	13.2	650	247	66
YALE27_1	YALE	49.566667	-121.4	61	8.6	18.3	-1.1	19.4	1422	227	13.1	80.5	254	1961	3549	120	237	126	288	162	213	-25.9	37.6	11.9	743	332	64
YALE27_2	YALE	49.566667	-121.4	61	8.6	18.3	-1.1	19.4	1422	227	13.1	80.5	254	1961	3549	120	237	126	288	162	213	-25.9	37.6	11.9	743	332	64
YALE27_3	YALE	49.566667	-121.4	61	8.6	18.3	-1.1	19.4	1422	227	13.1	80.5	254	1961	3549	120	237	126	288	162	213	-25.9	37.6	11.9	743	332	64
ZYMJ10_1	ZYMJ	54.466667	-127.933333	305	3.7	14.4	-8.3	22.8	774	189	17.8	76.4	859	1142	5193	23	162	159	260	101	315	-37.6	33.5	9.5	544	311	62
ZYMJ10_5	ZYMJ	54.466667	-127.933333	305	3.7	14.4	-8.3	22.8	774	189	17.8	76.4	859	1142	5193	23	162	159	260	101	315	-37.6	33.5	9.5	544	311	62
CHWK27_4	CHWK	49.083333	-121.733333	280	7.8	16.1	-0.1	16.2	1579	373	11.3	43.1	221	1610	3760	47	239	130	289	159	174	-24.4	34.4	9.2	666	145	68
KLNG20_2	KLNG	51.3	-125.766667	105	6.2	15	-2.9	17.9	1561	497	10.4	30.2	398	1380	4297	31	193	142	270	128	295	-31.5	34	10.5	640	88	61
NBON29_4	NBON	45.583333	-122	300	8.5	16.7	0.6	16.2	2455	384	7.6	43.6	178	1796	3498	66	237	143	289	147	226	-23.4	36.5	13.7	825	220	62
NHTB27_1	NHTB	49.966667	-121.816667	335	7.2	18	-3.5	21.5	1097	186	15.7	96.7	431	1763	4036	99	200	142	277	136	311	-30.4	37.9	10.1	739	395	60
QBKR16_2	QBKR	52.95	-122.866667	823	3	14.5	-9.8	24.3	547	275	23.8	52.7	1038	1114	5453	20	149	160	252	91	199	-41.9	33.1	10.6	557	236	58
SKWD24_4	SKWD	50.25	-124.016667	323	7	16.1	-1	17	2538	555	6.7	29	290	1498	4024	45	216	140	283	143	405	-26.3	34.7	9.7	658	51	66
SKWF24_4	SKWF	50.25	-123.933333	244	7.2	16.4	-1.1	17.5	2603	585	6.6	28	295	1550	3987	52	212	142	282	140	418	-26.8	35.4	9.6	683	47	64
