Genotype	Year	Provenance	Deme	Genetics	Population	Latitude	Longitude	Elevation	Height	Volume	Growth.rate	H.D	Amax	Amax.mass	LMAsummer	deltaleaf	delta15N	gs	C.N	Narea	Nmass	NUE	WUE	Growth.period	Budset	Canopy.duration	Leaf.drop	Post.budset.period	fitness
PHLA22_3	2009	PHLA	South	0.249380558	22	50.6	125.32	5	237.5	902.1	0.95	71.7	18.28	0.1967	0.09306	NA	2.202	0.4033	24.38	0.001885	0.02013	10.15	3.38	187	234.5	276.5	324	89.5	175
PHLA22_4	2009	PHLA	South	0.250956094	22	50.6	125.32	5	257.8	583.3	0.94	94.4	18.16	0.2232	0.08175	22.39	2.492	0.4371	21	0.001904	0.02328	9.59	3.187	191	254.3	264.5	327.8	73.5	178.8
PHLA22_5	2009	PHLA	South	0.239316052	22	50.6	125.32	5	279.3	917.5	0.9	81.4	16.28	0.2142	0.07287	19.76	1.831	0.3971	26.16	0.00132	0.01829	12.06	3.082	225.7	253	297.3	324.7	71.7	221.3
PHLC22_1	2009	PHLC	South	0.25330382	22	50.68	125.25	58	205	419.7	0.63	85.3	22.42	0.2885	0.07963	NA	1.4	0.4326	19.73	0.002018	0.02638	11.27	3.943	218.5	245.3	302.8	325.8	84.3	139.7
PHLC22_2	2009	PHLC	South	0.24565618	22	50.68	125.25	58	220.5	397.9	0.73	94.3	21.76	0.2713	0.0809	21.88	2.693	0.3995	19.12	0.002025	0.02511	10.84	4.07	201	239.8	281.3	320	80.3	145.1
PHLC22_3	2009	PHLC	South	0.25997206	22	50.68	125.25	58	262.8	586.5	0.97	94.9	17.47	0.2306	0.0748	17.58	2.667	0.3332	17.59	0.002035	0.02712	8.54	3.878	220.3	241.5	310.3	331.5	90	215.5
PHLC22_4	2009	PHLC	South	0.252775107	22	50.68	125.25	58	230.8	377.7	0.8	96.5	19.07	0.2574	0.07426	NA	1.305	0.4245	19.3	0.001846	0.02485	10.38	3.415	200	247	282.5	329.5	82.5	160.4
PHLC22_5	2009	PHLC	South	0.251999399	22	50.68	125.25	58	239.3	450.4	0.85	92.9	16.97	0.2064	0.08208	20.61	1.19	0.4427	24.76	0.001564	0.019	11.07	2.909	212	254.3	279.8	322	67.8	178.8
TOBA23_2	2009	TOBA	South	0.248498369	23	50.52	124.23	67	218	469.6	0.84	85	18.5	0.2389	0.0775	20.22	1.134	0.3617	20.5	0.00186	0.02404	10.06	3.867	186.8	254.3	265.8	333.3	79	156.7
TOBA23_3	2009	TOBA	South	0.262757639	23	50.52	124.23	67	239.5	410.3	0.82	96.6	18.42	0.2637	0.0848	NA	2.001	0.3803	20.45	0.001758	0.02289	9.64	3.702	213.1	255.3	292.9	335	79.8	172.1
TOBA23_4	2009	TOBA	South	0.244877554	23	50.52	124.23	67	240.3	491.3	0.79	103.1	18.66	0.2549	0.07496	NA	0.66	0.3542	23.16	0.00162	0.02229	11.7	3.972	217	248.8	296.3	328	79.3	174.3
TOBB23_2	2009	TOBB	South	0.240147768	23	50.57	124.08	73	264.5	849.3	0.71	89.5	16.17	0.1888	0.08929	18.72	2.012	0.2837	25.97	0.001759	0.02075	9.29	4.28	224.3	250.8	315.8	342.3	91.5	165
TOBB23_3	2009	TOBB	South	0.252780815	23	50.57	124.08	73	244.5	763.5	0.66	77.5	16	0.2213	0.0747	NA	-0.325	0.3629	22.4	0.001557	0.02119	10.31	3.584	229.8	256.3	299.5	326	69.8	154
TOBB23_4	2009	TOBB	South	0.248826352	23	50.57	124.08	73	229.8	385.9	0.92	98.6	18.47	0.2337	0.07844	20.63	1.128	0.4188	25.28	0.001429	0.01829	12.82	3.309	199	241.3	278	320.3	79	181.8
TOBB23_5	2009	TOBB	South	0.267535021	23	50.57	124.08	73	259.8	698.9	1.03	87.2	18.27	0.2045	0.0925	NA	1.33	0.3781	24.82	0.001773	0.01932	10.65	3.678	177.3	256.3	256.3	333.5	79	184.5
SKWA24_2	2009	SKWA	South	0.249434421	24	50.22	123.98	61	235	509.2	0.85	87.2	17.75	0.2302	0.0777	NA	0.577	0.4526	20.87	0.00183	0.02358	9.81	3.04	203.5	256.3	263.3	316	59.8	170
SKWA24_3	2009	SKWA	South	0.257636738	24	50.22	123.98	61	302.8	1661.2	1.16	70	17.27	0.2383	0.0723	NA	2.463	0.3692	19.07	0.001839	0.02569	9.68	3.483	194.8	259.8	268.3	333.3	73.5	221.2
SKWA24_4	2009	SKWA	South	0.248388197	24	50.22	123.98	61	241	471.1	0.82	96.5	16.38	0.1967	0.08508	NA	1.178	0.3619	23.7	0.001777	0.02112	9.26	3.327	217.5	247.3	292.5	322.3	75	181.5
SKWB24_2	2009	SKWB	South	0.245634034	24	50.23	124	115	261.8	1107.2	1.05	76	18.5	0.2294	0.07971	21.52	1.085	0.4648	22.59	0.001727	0.02147	10.73	3.03	194.8	259.8	261	326	66.3	206
SKWB24_3	2009	SKWB	South	0.252377468	24	50.23	124	115	257.5	878.7	0.99	80.3	17.51	0.2333	0.07596	NA	2.214	0.3458	18.98	0.001922	0.02596	9.21	3.77	208.8	258	270.5	319.8	61.8	201
SKWB24_4	2009	SKWB	South	0.242653047	24	50.23	124	115	184	249.8	0.64	80.8	21.92	0.2792	0.07693	NA	0.033	0.5546	20.16	0.001858	0.02419	12.04	3.135	185	241.3	258.8	315	73.8	115
SKWC24_1	2009	SKWC	South	0.256313133	24	50.25	124	152	231.8	649.9	0.99	86.4	18.6	0.2288	0.08213	19.38	2.466	0.3338	20.28	0.001931	0.02361	9.69	4.094	195.3	261.5	270.8	337	75.5	187.2
SKWC24_3	2009	SKWC	South	0.237261803	24	50.25	124	152	234	383.3	0.83	96.3	16.75	0.2308	0.07536	NA	0.751	0.5231	22.44	0.001588	0.02165	10.5	2.507	195	259.8	268.3	333	73.3	157
SKWC24_4	2009	SKWC	South	0.25270824	24	50.25	124	152	310.3	1060.8	0.98	89.1	16.32	0.1888	0.07574	NA	0.247	0.4997	26.68	0.00133	0.01759	10.74	2.526	236.5	263	297.5	324	61	230.5
SKWD24_1	2009	SKWD	South	0.2527903	24	50.25	124.02	323	240.5	859.6	0.74	72.3	16.45	0.1897	0.09311	17.44	0.536	0.4006	26.52	0.001342	0.01553	12.24	3.152	180.8	263.3	259.5	327.8	78.8	140.9
SKWD24_3	2009	SKWD	South	0.261437339	24	50.25	124.02	323	249.8	688.3	0.88	84.1	17.96	0.2111	0.08486	NA	0.266	0.3319	28.32	0.001372	0.01641	13.18	3.934	216	261.5	291.3	336.8	75.3	189.5
SKWD24_5	2009	SKWD	South	0.257441717	24	50.25	124.02	323	270	679.8	0.87	88.1	21.19	0.2397	0.08956	21.78	1.447	0.461	22.56	0.001905	0.02131	11.19	3.573	219	252.5	290.5	324	71.5	190.5
SKWE24_1	2009	SKWE	South	0.247726223	24	50.22	123.95	231	246.3	655.6	0.95	83.1	20.54	0.2732	0.07561	19.97	1.617	0.5396	18.55	0.001998	0.02657	10.84	2.932	197	250.5	266.8	320.3	69.8	179.8
SKWE24_3	2009	SKWE	South	0.254551845	24	50.22	123.95	231	232.3	564.7	0.98	83.6	16.31	0.1921	0.08514	NA	1.345	0.4996	25.71	0.001638	0.0193	10.05	2.561	193	263	268.8	338.8	75.8	186.3
SKWE24_4	2009	SKWE	South	0.250509013	24	50.22	123.95	231	221.8	506.9	0.76	78.9	17.24	0.2181	0.08057	19.97	0.702	0.4005	22.85	0.001714	0.02205	10.2	3.181	210.3	254.3	280	324	69.8	160.5
SKWE24_5	2009	SKWE	South	0.256313433	24	50.22	123.95	231	293.7	936.1	1.02	85.9	17.69	0.2402	0.07459	NA	2.945	0.2646	20.64	0.00182	0.0247	9.86	4.789	214	260.3	290.7	337	76.7	213.2
SKWF24_2	2009	SKWF	South	0.256379742	24	50.25	123.93	244	203.5	222.7	0.86	110.6	14.87	0.18	0.08344	20.96	1.356	0.4274	26.77	0.001496	0.01825	9.97	2.813	170.8	236.5	249.8	324.3	79	148.6
SKWF24_3	2009	SKWF	South	0.251476266	24	50.25	123.93	244	266.8	627.6	1.02	90.8	18	0.2299	0.07963	NA	1.384	0.4302	23.3	0.001641	0.02082	10.8	3.224	208.8	258	286	335.3	77.3	207.5
SKWF24_5	2009	SKWF	South	0.247411245	24	50.25	123.93	244	154.8	111.3	NA	102.3	25.63	0.3171	0.08071	20.7	1.524	0.5185	17.69	0.002187	0.02719	11.86	3.841	NA	254.3	NA	329.5	NA	NA
ELAD25_4	2009	ELAD	South	0.266535494	25	50.25	123.58	305	283.8	985.9	1.1	85.7	19.63	0.2355	0.08504	NA	2.071	0.2898	18.25	0.002234	0.0262	9.02	4.912	199.3	254.5	270.5	325.8	71.3	206.3
ELAD25_5	2009	ELAD	South	0.265451416	25	50.25	123.58	305	232.3	449.9	0.87	85.5	22.11	0.2435	0.09352	19.44	2.036	0.3915	22.32	0.002067	0.02275	10.8	4.313	185.8	247	268.5	329.8	82.8	157.4
SQMA25_1	2009	SQMA	South	0.251800815	25	49.87	123.23	61	252.3	588.4	0.92	95.3	20.19	0.2459	0.08339	19	1.635	0.4102	21.54	0.001831	0.0222	11.01	3.827	200	256.3	271.5	327.8	71.5	181.8
SQMA25_4	2009	SQMA	South	0.252714592	25	49.87	123.23	61	268.1	1080.7	0.93	77.9	20.39	0.2217	0.09012	19.52	1.51	0.4231	24.54	0.001804	0.02016	10.93	3.653	214	258.9	289.4	334.3	75.4	194.5
SQMA25_5	2009	SQMA	South	0.269015751	25	49.87	123.23	61	259.8	552.2	0.89	93.4	18.33	0.2335	0.07955	NA	0.673	0.4445	19.32	0.001986	0.02505	9.28	3.094	219.3	261.5	303.5	345.8	84.3	195.5
SQMB25_3	2009	SQMB	South	0.259454979	25	49.95	123.3	76	275.3	933.3	0.98	78.3	22.31	0.2915	0.07699	NA	0.531	0.4496	19.05	0.001937	0.02519	11.53	3.739	195.8	258	274.8	337	79	187
SQMB25_4	2009	SQMB	South	0.249985451	25	49.95	123.3	76	224	326.3	0.83	103	15.73	0.2037	0.07852	20.7	1.872	0.465	23.24	0.00166	0.02141	9.77	2.693	210.5	263.3	267.5	320.3	57	179.9
SQMC25_1	2009	SQMC	South	0.250896524	25	50.1	123.37	177	222	398.7	0.8	89.2	21.74	0.24	0.09087	NA	1.659	0.4303	20.91	0.00212	0.02335	10.28	3.879	204	246.8	283	329.5	79	155.3
SQMC25_2	2009	SQMC	South	0.277996309	25	50.1	123.37	177	233.8	483.8	1.08	87.2	17.66	0.2435	0.07273	NA	1.777	0.3627	18.57	0.001884	0.026	9.41	3.614	187.8	258	263	333.3	75.3	201.5
GLCA26_1	2009	GLCA	South	0.261159828	26	49.87	122.45	366	177.3	284.6	0.69	74.4	17.57	0.2372	0.07475	18.27	1.814	0.3825	22.89	0.001593	0.02161	11.11	3.445	198.3	241.3	281.3	324.3	83	133.3
GLCB26_1	2009	GLCB	South	0.25912412	26	50.1	123	579	224.3	334.5	0.82	104.8	20.73	0.2454	0.08463	20.08	2.559	0.3788	22.69	0.001819	0.02157	11.46	4.084	203.5	254.3	284.5	335.3	81	163.4
GLCB26_2	2009	GLCB	South	0.25773133	26	50.1	123	579	198.8	330	0.69	94.7	15.88	0.2069	0.0771	17.25	2.546	0.2683	22.51	0.001745	0.02288	9.37	4.216	234.7	247	318.3	331.3	83.7	135.8
GLCB26_3	2009	GLCB	South	0.25516618	26	50.1	123	579	232.3	417.4	0.68	91.5	16.76	0.2459	0.06877	NA	1.866	0.2004	17.6	0.001874	0.02748	8.96	5.869	233	252.5	308.5	328	75.5	158.4
GLCB26_4	2009	GLCB	South	0.251759571	26	50.1	123	579	226.5	434.1	0.71	93.2	19.85	0.2343	0.08672	18.87	1.032	0.3347	19.29	0.002172	0.02522	9.42	4.376	221.8	239.5	314	331.8	92.3	156.7
HARB26_1	2009	HARB	South	0.266627167	26	50.03	122.53	213	273	822.3	0.78	85.1	14.27	0.1831	0.07825	18.45	2.459	0.2691	16.74	0.002237	0.02901	6.45	3.825	234.8	254.3	309.5	329	74.8	183.5
HARB26_2	2009	HARB	South	0.24701412	26	50.03	122.53	213	211.5	542.8	0.74	71.4	18.79	0.2168	0.08765	NA	0.591	0.2907	19.27	0.002151	0.02466	8.75	4.7	201.8	254.5	287.8	340.5	86	146
HARB26_3	2009	HARB	South	0.248980515	26	50.03	122.53	213	242.5	1003.8	0.84	63.2	18.41	0.2405	0.07689	18.05	0.644	0.3244	17.93	0.002083	0.0275	8.96	4.121	207	258	275	326	68	172.2
HARB26_4	2009	HARB	South	0.259723004	26	50.03	122.53	213	256.3	539.1	0.9	93.8	16.37	0.2284	0.07168	NA	1.971	0.238	18.81	0.001872	0.02615	8.73	4.874	214	259.8	291.3	337	77.3	190.8
HARB26_5	2009	HARB	South	0.267903305	26	50.03	122.53	213	238	533.1	0.86	84.7	20.36	0.2376	0.08678	NA	2.325	0.3547	18.38	0.002213	0.02578	9.28	4.198	197.5	245	285.8	333.3	88.3	168.5
HARC26_1	2009	HARC	South	0.268955622	26	49.77	122.22	64	215	341	0.6	97.6	23.33	0.2348	0.09955	20.36	0.824	0.386	19.63	0.002415	0.02437	9.67	4.557	220	239.5	299	318.5	79	133.5
HARC26_2	2009	HARC	South	0.263065708	26	49.77	122.22	64	339.5	1188.3	1.06	97.3	17.95	0.2132	0.08377	NA	1.285	0.323	21.48	0.001832	0.0224	9.83	4.012	238.5	265	315.8	342.3	77.3	252
HARC26_3	2009	HARC	South	0.271082918	26	49.77	122.22	64	293.8	1078.8	1.03	83.3	20.42	0.2524	0.0818	20.77	2.344	0.3466	17.95	0.002215	0.02745	9.12	4.284	217.8	258	291.3	331.5	73.5	221.5
LILA26_4	2009	LILA	South	0.254523176	26	50.62	123.38	411	201.8	498.9	0.78	77.9	21.08	0.2909	0.07388	NA	1.131	0.3977	18.32	0.001872	0.02521	11.66	3.955	203	231	288.5	316.5	85.5	161.8
LILB26_1	2009	LILB	South	0.255065322	26	50.55	123.2	274	237	541.3	0.85	93.4	22.11	0.2757	0.08055	18.46	2.554	0.3668	16.28	0.002319	0.02874	9.59	4.473	220.5	252.3	296	327.8	75.5	189
LILB26_2	2009	LILB	South	0.260371931	26	50.55	123.2	274	264.3	1111.5	0.9	75.9	20.46	0.2488	0.0823	NA	2.211	0.4191	22.51	0.001766	0.02147	11.64	3.897	222	245	301	324	79	199.8
LILB26_3	2009	LILB	South	0.251586609	26	50.55	123.2	274	240.5	762.5	1.05	80.6	16.58	0.2339	0.07333	NA	2.802	0.3264	22.69	0.001558	0.02166	10.75	3.708	191	246.9	272.8	325.9	81.8	195.9
LILB26_5	2009	LILB	South	0.255478112	26	50.55	123.2	274	149	127.5	0.5	84.5	21.78	0.2394	0.09279	NA	1.815	0.3681	19.95	0.002217	0.02404	9.94	4.381	192	230.8	281.8	320.5	89.8	94.7
LILC26_1	2009	LILC	South	0.258727253	26	50.5	123	271	207.5	317.2	0.7	89.6	21.5	0.3036	0.07186	NA	1.24	0.4057	18.56	0.001795	0.02515	12.03	4.006	212	252.5	278	318.5	66	147.7
LILC26_2	2009	LILC	South	0.260220815	26	50.5	123	271	261.3	784.7	0.81	79.4	17.2	0.2443	0.07169	NA	0.554	0.4305	20.77	0.001618	0.0229	10.61	3.039	217.3	250.5	300	333.3	82.8	174.8
LILC26_3	2009	LILC	South	0.255806052	26	50.5	123	271	186	313.5	0.64	75.6	23.67	0.2918	0.08311	NA	0.172	0.3903	21.01	0.001868	0.02261	12.87	4.578	202.8	232.5	282.8	312.5	80	129.2
LILC26_5	2009	LILC	South	0.247581373	26	50.5	123	271	238	623.2	0.9	90.6	20.8	0.2535	0.08164	19.17	1.423	0.409	22.93	0.00172	0.02083	12.21	3.866	202.8	245	287.3	329.5	84.5	182.7
LILD26_3	2009	LILD	South	0.257848069	26	50.3	122.75	222	235.5	543.5	0.89	82.4	21.04	0.2584	0.07721	19.14	0.501	0.3689	22.09	0.001715	0.0224	11.72	4.268	186.3	245	272.8	331.5	86.5	164
LILD26_4	2009	LILD	South	0.254545708	26	50.3	122.75	222	197.5	196.4	0.75	103.1	20.97	0.2835	0.07432	NA	0.953	0.3561	19.78	0.001811	0.02427	11.76	4.368	202.5	243	283.8	324.3	81.3	150
CHWH27_1	2009	CHWH	South	0.268344206	27	49.1	121.52	480	273.5	588.5	0.97	108.5	16	0.2005	0.08055	NA	1.523	0.247	21.93	0.001787	0.02252	9.06	4.603	212.3	259.8	293	340.5	80.8	204.6
CHWH27_3	2009	CHWH	South	0.259640901	27	49.1	121.52	480	228.5	777.6	0.92	105	19.82	0.2363	0.08246	19.7	0.814	0.3497	21.07	0.00175	0.02063	11.87	4.237	240.5	279.3	289.5	334.9	49	158.7
CHWH27_5	2009	CHWH	South	0.262911845	27	49.1	121.52	480	285.8	884	0.9	96.8	16.12	0.1736	0.09217	20.54	1.639	0.3627	27.47	0.0016	0.01731	9.96	3.367	242.5	295	296.8	349.3	54.3	213.5
CHWI27_4	2009	CHWI	South	0.256511845	27	49.1	121.63	360	255	643.1	0.72	87.4	18.3	0.1788	0.09947	20.69	1.454	0.3799	29.41	0.001652	0.01668	9.46	3.617	224.3	247.3	304.8	327.8	80.5	165.5
CHWK27_2	2009	CHWK	South	0.263107425	27	49.08	121.73	280	260.8	846.6	0.81	85.3	17.49	0.2542	0.07193	20.54	1.105	0.3183	22.79	0.001564	0.02206	10.51	4	227	258.8	314	345.8	87	190.4
CHWK27_3	2009	CHWK	South	0.251558197	27	49.08	121.73	280	315.8	923	1.2	101.3	16.55	0.1986	0.08369	NA	2.048	0.3476	20.26	0.002023	0.02456	8.26	3.493	193	263	268.8	338.8	75.8	230.5
HOPF27_1	2009	HOPF	South	0.27633867	27	49.43	121.43	61	297.5	879.7	0.8	89.9	18.03	0.2249	0.08142	19.05	0.63	0.3327	20.62	0.001856	0.02281	9.87	4.02	247.8	277.8	298	328	50.3	198.7
HOPF27_2	2009	HOPF	South	0.257041288	27	49.43	121.43	61	200.3	288.9	0.61	90.7	20.72	0.258	0.08078	NA	2.06	0.365	19.92	0.001983	0.02476	10.42	4.221	233.3	256.3	314	337	80.8	141.9
HOPF27_3	2009	HOPF	South	0.255484764	27	49.43	121.43	61	215.3	257.3	0.62	106.7	19.77	0.2384	0.08328	NA	0.106	0.3793	19.86	0.002021	0.02427	9.82	3.845	236.3	263	310	333	73.8	146.8
HOPF27_4	2009	HOPF	South	0.259650687	27	49.43	121.43	61	222	276.7	0.7	106.3	22.78	0.2286	0.10104	20.5	1.925	0.4109	23.06	0.002125	0.02115	11.12	4.225	240	261.3	306.8	328	66.8	168.2
HOPF27_5	2009	HOPF	South	0.257882747	27	49.43	121.43	61	289.3	920.6	0.83	87.4	18.24	0.1972	0.09266	18.76	2.593	0.3114	20.54	0.002207	0.02392	8.23	4.202	245.5	284.3	303.5	342.3	58	202.8
HOPG27_1	2009	HOPG	South	0.263141674	27	49.4	121.55	500	237.3	499.3	0.8	92.1	15.76	0.195	0.08217	19.73	1.217	0.2821	24.37	0.001637	0.02005	9.53	4.093	218.5	258	286.3	325.8	67.8	170.3
HOPG27_2	2009	HOPG	South	0.262108026	27	49.4	121.55	500	219.6	360.1	0.68	91.4	21.16	0.2405	0.08842	NA	1.239	0.4347	23	0.001869	0.02126	11.41	3.678	222	258	286.4	322.4	64.4	150
HOPG27_5	2009	HOPG	South	0.256329099	27	49.4	121.55	500	225	831.9	0.69	97.2	17.89	0.1761	0.10348	18.43	2.23	0.3423	23.24	0.002159	0.02108	8.4	3.789	213.3	245.3	304.3	331.5	91	157.5
HRSO27_1	2009	HRSO	South	0.255049657	27	49.28	121.95	40	243.5	441.5	0.74	97.3	19.49	0.2077	0.09348	NA	1.086	0.3253	22.26	0.002079	0.02209	9.57	4.307	224.5	259.8	284.8	320	60.3	165.5
HRSO27_2	2009	HRSO	South	0.271747725	27	49.28	121.95	40	376.1	1804.2	1.02	92.2	19.58	0.2087	0.09305	17.81	1.802	0.3379	18.5	0.002471	0.0252	8.05	4.32	261.5	293.3	314	345.8	52.5	265
HRSO27_4	2009	HRSO	South	0.267207511	27	49.28	121.95	40	266.9	1259.4	0.81	73.4	17.36	0.2262	0.07749	22.25	0.787	0.3875	21.81	0.001705	0.02207	10.26	3.382	230.3	283	289.5	342.3	59.3	185.1
HRSP27_1	2009	HRSP	South	0.266567253	27	49.23	121.85	30	306.3	1924	1.2	86.7	17.87	0.2156	0.0853	NA	1.506	0.3667	21.49	0.001827	0.02149	10.06	3.612	232	287	314	335	82	190.3
HRSP27_3	2009	HRSP	South	0.267376953	27	49.23	121.85	30	276.3	722.7	0.86	98.4	17.78	0.2093	0.08552	NA	1.654	0.4323	22.59	0.001784	0.0211	9.94	3.171	227.8	263	308.8	344	81	195.3
HRSP27_4	2009	HRSP	South	0.260702961	27	49.23	121.85	30	248.3	459	0.81	100.3	18.74	0.2146	0.0907	19.21	2.307	0.398	25.6	0.001685	0.01898	11.28	3.54	226.9	251.5	300.3	324.9	73.4	182.8
MCMN27_3	2009	MCMN	South	0.26773279	27	49.18	122.58	15	272.5	715.8	0.69	94.3	20.62	0.2381	0.08705	19.26	1.778	0.3996	19.04	0.002232	0.02586	9.5	3.993	267	291.3	316.3	338.8	49.3	154.5
MTSM27_3	2009	MTSM	South	0.273676094	27	49.12	122.33	8	328.8	752.8	0.81	113.7	20.45	0.2158	0.09847	20.01	1.427	0.4242	24.13	0.001871	0.01882	11.5	3.592	252.7	271	308.3	327.5	55.7	200.1
MTSM27_5	2009	MTSM	South	0.25499588	27	49.12	122.33	8	223	426.1	0.68	83.7	17.86	0.2617	0.06825	20.13	0.909	0.3852	22.24	0.001476	0.02165	12.21	3.485	207.3	258	277.3	328	70	141.2
NHTA27_2	2009	NHTA	South	0.26308485	27	50	121.57	213	205	405.4	0.72	85.2	18.08	0.228	0.08262	18.36	2.663	0.3084	19.87	0.002057	0.02593	8.74	4.348	211.3	250.8	287.7	324	76.3	148.7
NHTA27_3	2009	NHTA	South	0.274306137	27	50	121.57	213	183.5	187.7	0.73	97.4	17.7	0.2257	0.07918	NA	1.402	0.3792	19.09	0.00198	0.02514	8.95	3.533	194.3	250.5	269.8	326	75.5	138.7
NHTB27_1	2009	NHTB	South	0.259455408	27	49.97	121.82	335	210.3	283.6	0.7	95.9	21.41	0.2492	0.08634	19.15	0.654	0.3785	23.16	0.001789	0.02079	11.93	4.26	204.3	250.8	277.5	324	73.3	142.9
NHTB27_2	2009	NHTB	South	0.274284163	27	49.97	121.82	335	199	295	0.63	88.5	15.46	0.2392	0.06467	NA	1.684	0.3516	19.78	0.001596	0.02467	9.89	3.305	231	250.5	310.5	330	79.5	146
NHTB27_4	2009	NHTB	South	0.271832575	27	49.97	121.82	335	210.5	557.4	0.87	81.7	17.05	0.2068	0.08324	NA	1.671	0.3166	25.65	0.001618	0.01959	10.47	3.897	171.5	241.8	249.8	320	78.3	151.2
NHTB27_5	2009	NHTB	South	0.259886652	27	49.97	121.82	335	240	497.2	0.86	92.4	17.87	0.278	0.06481	18.55	3.246	0.3502	19.31	0.001583	0.02455	11.46	3.767	214.3	258	289.8	333.5	75.5	182
VNDL27_3	2009	VNDL	South	0.260901288	27	49.15	122.1	20	303.5	724.6	0.93	107.8	21.48	0.2185	0.09828	NA	2.295	0.3907	22.06	0.002134	0.02164	10.16	4.103	229	278.3	287.5	336.8	58.5	213.2
VNDL27_5	2009	VNDL	South	0.260432103	27	49.15	122.1	20	310.3	976.8	1.04	92.1	18.32	0.2084	0.08913	19.63	1.132	0.3794	22.58	0.001897	0.02136	9.81	3.558	215.5	264.8	289.5	338.8	74	221.5
WELC27_1	2009	WELC	South	0.270386352	27	49.67	121.42	91	182	208.8	0.6	89.3	15.33	0.2131	0.07268	19.91	1.614	0.2774	20.46	0.0017	0.02395	9.04	4.257	198.3	259.8	264.3	325.8	66	119.7
WELC27_2	2009	WELC	South	0.262669142	27	49.67	121.42	91	250.3	646.7	0.64	84.9	20.33	0.2141	0.09516	NA	1.157	0.3468	26.6	0.001712	0.01802	11.69	4.286	220.8	254.3	305	338.5	84.3	140.8
WELC27_3	2009	WELC	South	0.258396609	27	49.67	121.42	91	144	89.9	NA	113.6	18.14	0.2242	0.08486	18.45	1.413	0.3505	26.15	0.001576	0.01891	11.69	3.774	NA	258	NA	320.3	NA	NA
WELC27_4	2009	WELC	South	0.258317296	27	49.67	121.42	91	225	591.1	0.68	83.7	19.48	0.2169	0.09284	NA	1.073	0.3475	23.37	0.001873	0.02084	10.39	4.162	209	262.5	277.8	331.3	68.8	141.5
WELC27_5	2009	WELC	South	0.262565107	27	49.67	121.42	91	125.8	64	NA	119.9	17.95	0.2468	0.07311	16.93	0.883	0.3844	22.53	0.001603	0.02209	11.43	3.404	NA	259.8	NA	333.3	NA	NA
YALD27_3	2009	YALD	South	0.281153777	27	49.57	121.47	549	199	403.3	0.62	83.5	21.01	0.2175	0.09519	NA	1.121	0.3973	24.62	0.001691	0.01677	11.69	3.938	226	261.3	301.5	336.8	75.5	142.7
YALD27_4	2009	YALD	South	0.281097296	27	49.57	121.47	549	256.8	545.3	0.8	91.2	17.36	0.1889	0.09219	NA	2.471	0.3231	26.79	0.00162	0.0177	10.75	4.201	229.8	258	306.8	335	77	183.5
YALD27_5	2009	YALD	South	0.260910858	27	49.57	121.47	549	302.3	733.7	1.1	99.9	23.42	0.2894	0.07967	18.58	1.484	0.3657	18.25	0.002075	0.0262	11.11	4.743	205.3	259.8	275.3	329.8	70	225.2
YALE27_2	2009	YALE	South	0.25996867	27	49.57	121.4	61	232.9	333.6	0.82	103.6	18.54	0.2319	0.08243	15.74	0.861	0.2934	21.42	0.001841	0.02265	10.2	4.569	207.1	244.1	286	323	78.9	167.6
YALE27_3	2009	YALE	South	0.250455579	27	49.57	121.4	61	127.5	47.7	0.43	109.2	19.1	0.2639	0.07596	NA	1.685	0.4502	17.86	0.001969	0.0265	10	3.301	213	254.3	283	321.8	70	95.5
BLCG28_1	2009	BLCG	South	0.250883906	28	49.83	125.18	91	253.4	821.1	0.99	81.2	19.71	0.2152	0.09109	NA	2.614	0.4199	21.15	0.002058	0.02261	9.52	3.563	212.4	254.4	298.4	339.5	86	180.8
BLCG28_3	2009	BLCG	South	0.262246953	28	49.83	125.18	91	219.8	501.6	0.87	94.8	21.55	0.2442	0.08889	20.49	2.435	0.3462	19.57	0.002194	0.02458	9.95	4.6	235	253.6	309	329.6	74	142.5
CMBF28_1	2009	CMBF	South	0.250410901	28	49.95	125.25	76	209	220.1	0.79	106.5	21.49	0.2546	0.08497	NA	1.418	0.3772	19.67	0.002115	0.02515	10.18	4.173	212	247.3	296.3	331.5	84.3	162
CMBF28_2	2009	CMBF	South	0.266056567	28	49.95	125.25	76	230	707.1	0.71	87.9	19.56	0.275	0.07148	NA	2.499	0.2875	18.35	0.00186	0.02607	10.5	4.951	227.5	250.5	295.5	318.5	68	161.2
CMBF28_3	2009	CMBF	South	0.248681116	28	49.95	125.25	76	251.5	482.9	0.95	98.9	19.42	0.2517	0.07803	NA	0.945	0.3149	17.48	0.002143	0.02791	9.07	4.505	182.3	252.5	248.3	318.5	66	168.7
CNYH28_1	2009	CNYH	South	0.246393605	28	49.67	125.07	76	270.3	827.9	1	87	20.66	0.2503	0.08322	NA	0.697	0.4348	23.69	0.001665	0.02015	12.33	3.576	177.8	254.5	256.5	333.3	78.8	177.5
CNYH28_2	2009	CNYH	South	0.257536094	28	49.67	125.07	76	218.3	250.7	0.84	107	18.52	0.2223	0.08426	20.75	0.573	0.345	24.22	0.001657	0.0196	11.38	3.955	183.3	241.8	271.7	329.5	88.3	148.6
CNYH28_4	2009	CNYH	South	0.247896395	28	49.67	125.07	76	106.8	25.1	NA	117.4	18.48	0.2294	0.08158	18.5	1.784	0.46	29.72	0.001292	0.01611	12.4	3.196	NA	254.5	NA	333.3	NA	NA
